Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
0,3,0,0,3,2,8
0,3,0,0,2,2,7
0,7,0,0,9,16,32
0,7,0,0,2,16,25
0,3,0,0,3,2,8
0,3,0,0,2,2,7
