Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
17,69,27,141,16,10,2,41,5,840,15
17,69,27,141,16,10,2,41,5,840,15
17,69,27,140,16,10,2,41,5,840,15
17,69,27,140,16,10,2,41,5,840,15
17,69,27,141,0,0,2,41,5,840,15,12,2
