Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
50,32,0,0,130,154,366
50,32,0,0,130,154,366
50,32,0,0,130,154,366
1,5,0,0,130,154,290
1,5,0,0,130,155,291
