Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries, Left counterexamples, Right counterexamples
18,138,36,169,0,0,16,59,5,528,8,6,1
18,138,37,175,0,0,16,61,5,601,9,6,2
18,138,36,172,0,0,16,66,5,582,8,5,2
18,138,36,163,0,0,16,51,5,582,8,5,2
18,138,36,169,0,0,16,59,5,528,8,6,1
18,138,37,173,0,0,16,61,5,601,9,6,2
