Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
15,18,0,0,6,19,58
15,17,0,0,9,20,61
21,15,0,0,14,35,85
16,18,0,0,11,31,76
15,18,0,0,6,19,58
15,17,0,0,9,35,76
21,15,0,0,14,35,85
16,18,0,0,11,31,76
15,18,0,0,6,19,58
13,15,0,0,10,18,56
15,14,0,0,21,19,69
15,18,0,0,34,15,82
17,14,0,0,24,22,77
