Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
11,15,0,0,20,8,54
9,6,0,0,14,8,37
11,25,0,0,18,16,70
11,25,0,0,18,15,69
11,15,0,0,20,9,55
9,6,0,0,14,9,38
11,25,0,0,18,18,72
11,25,0,0,18,18,72
11,15,0,0,20,8,54
13,26,0,0,16,23,78
14,23,0,0,10,26,73
14,24,0,0,12,23,73
14,19,0,0,13,23,69
