Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
6,6,0,0,6,20,38
5,8,0,0,4,9,26
7,11,0,0,12,16,46
7,6,0,0,7,12,32
6,6,0,0,6,20,38
5,8,0,0,4,11,28
7,11,0,0,12,17,47
7,6,0,0,7,12,32
6,6,0,0,6,20,38
9,6,0,0,0,18,33
9,9,0,0,10,19,47
10,8,0,0,0,15,33
10,8,0,0,1,15,34
