Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
6,17,0,0,40,7,70
6,13,0,0,72,9,100
3,10,0,0,41,0,54
3,13,0,0,62,0,78
6,17,0,0,40,6,69
6,13,0,0,72,10,101
3,10,0,0,41,0,54
3,13,0,0,62,0,78
6,17,0,0,40,6,69
9,25,0,0,52,5,91
9,18,0,0,73,6,106
7,22,0,0,32,3,64
7,22,0,0,76,2,107
