Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
27,8,0,0,32,43,110
32,10,0,0,23,21,86
21,9,0,0,42,28,100
27,10,0,0,28,21,86
27,8,0,0,32,40,107
32,10,0,0,23,19,84
21,9,0,0,42,28,100
27,10,0,0,28,21,86
27,8,0,0,32,38,105
28,15,0,0,33,27,103
24,11,0,0,10,32,77
34,15,0,0,40,36,125
31,19,0,0,30,35,115
