Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
1,10,0,0,3,2,16
1,10,0,0,7,1,19
2,18,0,0,11,3,34
2,22,0,0,9,3,36
1,10,0,0,3,2,16
1,10,0,0,7,1,19
