Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries, Left counterexamples, Right counterexamples
24,96,287,1168,0,0,1,21,5,491,2,1,0
24,96,287,1168,0,0,1,21,5,491,2,1,0
24,96,286,1144,0,0,1,1,0,462,1,0,0
24,96,286,1144,0,0,1,1,0,462,1,0,0
24,96,287,1168,0,0,1,21,5,491,2,1,0
24,96,287,1168,0,0,1,21,5,491,2,1,0
