Decompose Left,Decompose Right,Merging,Branching,Saturation,Desaturation,Total Operations
15,2,0,0,3,18,38
15,2,0,0,3,18,38
0,0,0,0,3,18,21
0,0,0,0,3,18,21
0,0,0,0,3,18,21
0,0,0,0,3,18,21
